Company Name,Business Revenue,Profitability,Cash Flow,Business Age,Industry Sector,Business Structure,Ownership Structure,Credit History,Collateral Value,Debt-to-Equity Ratio,Regulatory Compliance,Use of Funds,Loan Approved
African Distillers Limited,"$1,400,000 ",22%,"$140,000 ",16 years,Beverage,Corporation,Public,Excellent,"$2,200,000 ",0.5,Yes,Expansion of beverage production,1
African Sun Meikles Africa Limited,"$2,000,000 ",26%,"$200,000 ",18 years,Hospitality,Corporation,Public,Excellent,"$3,000,000 ",0.6,Yes,Renovation and expansion of hotel facilities,1
RTG Properties Limited,"$1,500,000 ",23%,"$150,000 ",15 years,Real Estate,Corporation,Public,Good,"$2,200,000 ",0.4,Yes,Development of commercial properties,1
African Sun Zimbabwe Limited,"$1,800,000 ",25%,"$180,000 ",20 years,Hospitality,Corporation,Public,Excellent,"$2,800,000 ",0.5,Yes,Upgrade of hotel amenities,1
Dawn Properties Limited,"$1,200,000 ",20%,"$120,000 ",16 years,Real Estate,Corporation,Public,Good,"$1,800,000 ",0.4,Yes,Renovation and leasing of commercial space,1
ZESA Holdings (Pvt) Limited,"$1,500,000 ",22%,"$150,000 ",18 years,Energy,Corporation,Private,Good,"$2,500,000 ",0.5,Yes,Infrastructure upgrade for power generation,1
ZESA Enterprises (Pvt) Limited,"$1,400,000 ",21%,"$140,000 ",17 years,Energy,Corporation,Private,Good,"$2,200,000 ",0.4,Yes,Expansion of energy distribution network,1
Petrotrade (Pvt) Limited,"$1,300,000 ",24%,"$130,000 ",16 years,Petroleum,Corporation,Private,Good,"$2,000,000 ",0.4,Yes,Upgrade of petroleum storage facilities,1
Zuva Petroleum (Pvt) Limited,"$1,600,000 ",27%,"$160,000 ",19 years,Petroleum,Corporation,Private,Excellent,"$2,500,000 ",0.6,Yes,Expansion of fuel distribution network,1
Sakunda Holdings (Pvt) Limited,"$2,200,000 ",30%,"$220,000 ",22 years,Energy,Corporation,Private,Excellent,"$3,200,000 ",0.7,Yes,Investment in renewable energy projects,1
Redan Petroleum (Pvt) Limited,"$1,700,000 ",26%,"$170,000 ",20 years,Petroleum,Corporation,Private,Excellent,"$2,800,000 ",0.5,Yes,Upgrade of fuel distribution infrastructure,1
Total Zimbabwe (Pvt) Limited,"$2,000,000 ",28%,"$200,000 ",21 years,Petroleum,Corporation,Private,Excellent,"$3,000,000 ",0.6,Yes,Expansion of fuel retail operations,1
Engen Petroleum Zimbabwe (Pvt) Limited,"$1,800,000 ",25%,"$180,000 ",18 years,Petroleum,Corporation,Private,Excellent,"$2,800,000 ",0.5,Yes,Modernization of petroleum refining,1
Puma Energy Zimbabwe (Pvt) Limited,"$1,900,000 ",29%,"$190,000 ",20 years,Petroleum,Corporation,Private,Excellent,"$3,000,000 ",0.6,Yes,Expansion of fuel distribution network,1
Green Fuel (Pvt) Limited,"$1,600,000 ",23%,"$160,000 ",17 years,Renewable Energy,Corporation,Private,Excellent,"$2,200,000 ",0.4,Yes,Investment in biofuel production,1
Masimba Holdings Limited,"$2,300,000 ",28%,"$230,000 ",20 years,Construction,Corporation,Public,Excellent,"$3,500,000 ",0.5,Yes,Expansion of construction projects,1
Costain Africa Holdings Limited,"$1,800,000 ",25%,"$180,000 ",18 years,Construction,Corporation,Public,Excellent,"$2,800,000 ",0.4,Yes,Modernization of construction equipment,1
Murray & Roberts Zimbabwe (Pvt) Ltd,"$1,500,000 ",22%,"$150,000 ",15 years,Construction,Corporation,Private,Good,"$2,200,000 ",0.3,Yes,Renovation of infrastructure projects,1
Turnall Holdings Limited,"$1,200,000 ",20%,"$120,000 ",12 years,Manufacturing,Corporation,Public,Good,"$1,800,000 ",0.4,Yes,Upgrade of manufacturing facilities,1
Larfarge Cement Zimbabwe Limited,"$2,400,000 ",29%,"$240,000 ",22 years,Construction,Corporation,Public,Excellent,"$3,500,000 ",0.6,Yes,Expansion of cement production,1
Bitumen World (Pvt) Limited,"$1,600,000 ",23%,"$160,000 ",17 years,Construction,Corporation,Private,Good,"$2,300,000 ",0.5,Yes,Upgrade of road construction equipment,1
Cementation Africa (Pvt) Limited,"$1,700,000 ",24%,"$170,000 ",18 years,Construction,Corporation,Private,Good,"$2,500,000 ",0.5,Yes,Infrastructure development projects,1
Radar Holdings Limited,"$1,300,000 ",22%,"$130,000 ",16 years,Manufacturing,Corporation,Public,Good,"$2,000,000 ",0.4,Yes,Modernization of manufacturing processes,1
Zimtile (Pvt) Limited,"$1,900,000 ",26%,"$190,000 ",20 years,Manufacturing,Corporation,Private,Excellent,"$2,800,000 ",0.6,Yes,Expansion of roofing tile production,1
Overland Cement (Pvt) Limited,"$1,400,000 ",23%,"$140,000 ",15 years,Construction,Corporation,Private,Good,"$2,000,000 ",0.4,Yes,Upgrade of cement manufacturing equipment,1
HealthCare Holdings Limited,"$2,200,000 ",27%,"$220,000 ",20 years,Healthcare,Corporation,Public,Excellent,"$3,200,000 ",0.5,Yes,Expansion of healthcare facilities,1
Medical Investments Limited,"$1,800,000 ",24%,"$180,000 ",18 years,Healthcare,Corporation,Public,Excellent,"$2,800,000 ",0.4,Yes,Upgrade of medical equipment,1
City Health Care Partnership (Pvt) Ltd,"$1,500,000 ",22%,"$150,000 ",16 years,Healthcare,Corporation,Private,Good,"$2,200,000 ",0.4,Yes,Renovation of healthcare centers,1
Cimas Medical Aid Society,"$2,500,000 ",29%,"$250,000 ",22 years,Healthcare,Non-profit,Non-profit,Excellent,"$4,000,000 ",0.6,Yes,Expansion of medical insurance services,1
Trauma Centre Hospital (Pvt) Limited,"$2,000,000 ",26%,"$200,000 ",19 years,Healthcare,Corporation,Private,Excellent,"$3,000,000 ",0.5,Yes,Upgrade of trauma care facilities,1
City Medical Centre (Pvt) Limited,"$1,700,000 ",23%,"$170,000 ",17 years,Healthcare,Corporation,Private,Good,"$2,500,000 ",0.4,Yes,Modernization of medical services,1
PSMI Holdings (Pvt) Limited,"$1,600,000 ",25%,"$160,000 ",16 years,Healthcare,Corporation,Private,Good,"$2,400,000 ",0.4,Yes,Expansion of healthcare network,1
HealthPlus Medical Services (Pvt) Ltd,"$2,300,000 ",28%,"$230,000 ",21 years,Healthcare,Corporation,Private,Excellent,"$3,500,000 ",0.5,Yes,Investment in advanced medical technology,1
HealthGuard Medical Services (Pvt) Ltd,"$2,100,000 ",26%,"$210,000 ",20 years,Healthcare,Corporation,Private,Excellent,"$3,200,000 ",0.6,Yes,Expansion of healthcare services,1
Fidelity Life Medical Aid Society,"$1,900,000 ",24%,"$190,000 ",18 years,Healthcare,Non-profit,Non-profit,Good,"$2,800,000 ",0.4,Yes,Enhancement of medical insurance coverage,1
